synset_id,"synset_word",anto_time_id,"anto_time_word"
2257,"असामयिक",1131,"सामयिक"
2344,"अव्यतीत",2623,"व्यतीत"
2344,"अगत",2623,"गत"
2344,"अनबीता",2623,"बीता"
2344,"अविगत",2623,"विगत"
2359,"आगामी",1660,"भूतपूर्व"
2361,"उत्तर कालीन",2362,"पूर्व कालीन"
2362,"पूर्व कालीन",2361,"उत्तर कालीन"
2623,"अतीत",2359,"आगामी"
2623,"पिछला",2359,"अगला"
2626,"भूत कालीन",1590,"भविष्य कालीन"
2626,"भूत कालीन",3066,"वर्तमान कालीन"
2864,"अवधिहीन",1846,"अवधियुक्त"
2864,"बेमियादी",1846,"मियादी"
3066,"वर्तमान कालीन",2626,"भूत कालीन"
3066,"वर्तमान कालीन",1590,"भविष्य कालीन"
1131,"सामयिक",2257,"असामयिक"
1590,"भविष्य कालीन",2626,"भूत कालीन"
1590,"भविष्य कालीन",3066,"वर्तमान कालीन"
1660,"भूतपूर्व",88,"वर्तमान"
1661,"प्राचीन",2688,"आधुनिक"
1661,"पुराकालीन",2688,"अपूर्वकालीन"
1661,"पुरातन",2688,"अधुनातन"
1661,"पुराना",2688,"नया"
1846,"अवधियुक्त",2864,"अवधिहीन"
4564,"अल्पकालीन",4893,"दीर्घकालीन"
4564,"अल्पकालिक",4893,"दीर्घकालिक"
4893,"दीर्घकालीन",4564,"अल्पकालीन"
4893,"दीर्घकालिक",4564,"अल्पकालिक"
4893,"दीर्घ कालीन",4564,"अल्प कालीन"
