synset_id,"synset_word",anto_manner_id,"anto_manner_word"
2116,"पराधीनतः",896,"स्वाधीनतः"
2297,"गुप्ततः",796,"अगुप्ततः"
2297,"गुपचुप रूप से",796,"खुलेआम"
2297,"चोरी छिपे",796,"खुल्लमखुल्ला"
2368,"आगे-आगे",1268,"पीछे-पीछे"
2824,"विचारहीनतः",1807,"विचारिततः"
2824,"अनसोचे",1807,"सोच समझ कर"
2868,"लगातार",1850,"रुक-रुककर"
2868,"अविरामतः",1850,"सविरामतः"
595,"कठिनतः",4728,"सहजतः"
595,"कठिनाई से",4728,"आसानी से"
595,"मुश्किल से",4728,"खेल खेल में"
796,"अगुप्ततः",2297,"गुप्ततः"
796,"खुलेआम",2297,"गुपचुप रूप से"
796,"खुल्लमखुल्ला",2297,"चोरी छिपे"
896,"स्वाधीनतः",2116,"पराधीनतः"
1850,"रुक-रुककर",2868,"लगातार"
1850,"विरामतः",2868,"अविरामतः"
1093,"अप्रसन्नतापूर्वक",2479,"प्रसन्नतापूर्वक"
2620,"शीघ्रतः",1586,"अशीघ्रतः"
2827,"अधिकारहीनतः",1812,"अधिकारपूर्वक"
2827,"अनधिकार",1812,"अधिकारतः"
4728,"आसानी से",595,"कठिनाई से"
4728,"सहजतः",595,"कठिनतः"
14108,"अच्छा",14109,"बुरा"
14108,"बढ़िया",14109,"खराब"
14108,"अच्छी तरह",14109,"बुरी तरह"
14109,"बुरा",14108,"अच्छा"
14109,"खराब",14108,"बढ़िया"
14109,"बुरी तरह",14108,"अच्छी तरह"
