"ending","suffix","pos"
"eM","a","noun"
"iyaM","i","noun"
"iyaM","I","noun"
"Mz",";","noun"
"e","A","noun"
"e","a","noun"
"oM","A","noun"
"oM","a","noun"
"iyoM","i","noun"
"iyoM","I","noun"
"yeMz",";","noun"
"iyAMz","i","noun"
"iyAMz","I","noun"
"AoM","A","noun"
"AeMz","A","noun"
"ueMz","U","noun"
"awA","anA","verb"
"awI","anA","verb"
"awe","anA","verb"
"a","anA","verb"
"A","anA","verb"
"UMzgA","anA","verb"
"UMzgI","anA","verb"
"eMge","anA","verb"
"egA","anA","verb"
"egI","anA","verb"
"oge","anA","verb"
"UMz","anA","verb"
"e","anA","verb"
"o","anA","verb"
"yA","anA","verb"
"I","anA","verb"
"iyA","InA","verb"
"wa","nA","verb"
"iyA","enA","verb"
"iye","anA","verb"
"a rahA","anA","verb"
"UMz","anA","verb"
"eM","anA","verb"
"UMgA","anA","verb"
"uMgA","anA","verb"
"A hogA","anA","verb"
"awA hogA","anA","verb"
"awA hUMz","anA","verb"
"otA","anA","verb"
"awI hoMgI","anA","verb"
"iUMzgA","InA","verb"
"uegA","UnA","verb"
"yeMge","nA","verb"
"we","nA","verb"
"UMz","nA","verb"
"yA","nA","verb"
"I","nA","verb"
"wA","nA","verb"
"wI","nA","verb"
"we","nA","verb"
"A","AnA","verb"
"UMzgA","nA","verb"
"UMzgI","nA","verb"
"eMge","nA","verb"
"egA","nA","verb"
"egI","nA","verb"
"oge","nA","verb"
"UMz","nA","verb"
"eM","nA","verb"
"e","nA","verb"
"o","nA","verb"
"wA hUMz","nA","verb"
"wA hO","nA","verb"
"wA WA","nA","verb"
"wA hoMgA","nA","verb"
"wA hogA","nA","verb"
"we ho","nA","verb"
"we hOM","nA","verb"
"we hoMge","nA","verb"
"we hoge","nA","verb"
"A raha","AnA","verb"
"A rahe","AnA","verb"
"U rahe","UnA","verb"
"uA","UnA","verb"
"uegA","UnA","verb"
"uoge","UnA","verb"
"ueMge","UnA","verb"
"ueM","UnA","verb"
"uo","UnA","verb"
"ue","Una","verb"
"owA hUM","nA","verb"
"owA hE","nA","verb"
"owA WA","nA","verb"
"owA hoMgA","nA","verb"
"owA hogA","nA","verb"
"owe ho","nA","verb"
"owe hEM","nA","verb"
"owe hoMge","nA","verb"
"owe hoge","nA","verb"
"o raha","nA","verb"
"o rahe","nA","verb"
"iA","InA","verb"
"iegA","InA","verb"
"ioge","InA","verb"
"ieMge","InA","verb"
"ieM","InA","verb"
"io","InA","verb"
"ie","InA","verb"
"a raha hai","anA","verb"
"a raha hUM","anA","verb"
"a raha ho","anA","verb"
"a raha haiM","anA","verb"
"awI hUM","anA","verb"
"awI hE","anA","verb"
"awI WI","anA","verb"
"awI hoMgI","anA","verb"
"awI hogI","anA","verb"
"awI ho","anA","verb"
"awI hEM","anA","verb"
"awI hoMge","anA","verb"
"awI hoge","anA","verb"
"a rahI","anA","verb"
"U rahI","unA","verb"
"uegI","UnA","verb"
"uogI","UnA","verb"
"ueMgI","UnA","verb"
"owI hUMz","onA","verb"
"owI hE","onA","verb"
"owI WI","onA","verb"
"owI hoMgI","onA","verb"
"owI hogI","onA","verb"
"owI ho","onA","verb"
"owI hEM","onA","verb"
"owI hoMge","onA","verb"
"owI hoge","onA","verb"
"o rahI","onA","verb"
"iegI","InA","verb"
"iogI","InA","verb"
"ieMgI","InA","verb"
"a rahI hE","anA","verb"
"a rahI hUM","anA","verb"
"a rahI ho","anA","verb"
"a rahI hE","anA","verb"
"I","A","verb"
"e","A","verb"
