synset_id,"synset_word",anto_size_id,"anto_size_word"
2649,"अथरा",14903,"अथरी"
2993,"कटोरा",907,"कटोरी"
383,"बड़ा कोष्ठक चिह्न",389,"छोटा कोष्ठक चिह्न"
383,"बड़ा कोष्ठक चिन्ह",389,"छोटा कोष्ठक चिन्ह"
383,"बड़ा कोष्ठक",389,"छोटा कोष्ठक"
389,"छोटा कोष्ठक",383,"बड़ा कोष्ठक"
389,"छोटा कोष्ठक चिह्न",383,"बड़ा कोष्ठक चिह्न"
389,"छोटा कोष्ठक चिन्ह",383,"बड़ा कोष्ठक चिन्ह"
1542,"छोटा पक्षी",1531,"बड़ा पक्षी"
1531,"बड़ा पक्षी",1542,"छोटा पक्षी"
4391,"कुल्हाड़ा",10680,"कुल्हाड़ी"
4391,"टाँगा",10680,"टाँगी"
4489,"मकड़ी",9701,"मकड़ा"
4489,"मकरी",9701,"मकरा"
10722,"तकला",3156,"तकली"
7155,"भाली",7154,"भाला"
7155,"बरछी",7154,"बरछा"
7154,"भाला",7155,"भाली"
7154,"बरछा",7155,"बरछी"
7559,"मटकी",7505,"मटका"
6918,"संदूकची",6917,"संदूक"
6918,"संदूक़ची",6917,"संदूक़"
6967,"डोंगी",4030,"डोंगा"
6967,"द्रोणी",4030,"द्रोण"
7353,"कठौती",7376,"कठौता"
7376,"कठौता",7353,"कठौती"
7841,"लंगोट",12453,"लंगोटी"
7841,"लंगोटा",12453,"लंगोटी"
7841,"लँगोट",12453,"लँगोटी"
7841,"लँगोटा",12453,"लँगोटी"
6916,"पिटारी",11081,"पिटारा"
8290,"प्याली",5182,"प्याला"
9701,"मकड़ा",4489,"मकड़ी"
9701,"मकरा",4489,"मकरी"
9717,"मठिया",3691,"मठ"
9717,"मठी",3691,"मठ"
8602,"कंघा",8491,"कंघी"
8491,"कंघी",8602,"कंघा"
8624,"काँटी",4319,"काँटा"
8918,"टोप",4870,"टोपी"
8918,"टोपा",4870,"टोपी"
10680,"कुल्हाड़ी",4391,"कुल्हाड़ा"
10680,"टाँगी",4391,"टाँगा"
12375,"बटुला",12376,"बटलोई"
12375,"बटुला",12376,"बटुली"
12376,"बटलोई",12375,"बटुला"
12376,"बटुली",12375,"बटुला"
12380,"जूती",5650,"जूता"
12387,"बसूली",7436,"बसूला"
12453,"लँगोटी",7841,"लँगोटा"
12453,"लंगोटी",7841,"लंगोटा"
12782,"छन्ना",8790,"छन्नी"
12782,"छनना",8790,"छननी"
12713,"झंडी",521,"झंडा"
7346,"बोरा",6978,"बोरी"
7346,"बोरा",6978,"बोरिया"
12934,"हथौड़ी",3953,"हथौड़ा"
12934,"हथोड़ी",3953,"हथोड़ा"
9461,"पीढ़ी",2763,"पीढ़ा"
8964,"ढोलक",5891,"ढोल"
8964,"ढोलकी",5891,"ढोल"
12946,"लठ",5821,"लाठी"
12946,"लट्ठ",5821,"लाठी"
13021,"लोढ़ी",7094,"लोढ़ा"
13021,"लोढ़िया",7094,"लोढ़ा"
13031,"कटारी",3989,"कटार"
6262,"दौरा",22615,"दौरी"
14543,"खोंपा",14544,"खोंपी"
14544,"खोंपी",14543,"खोंपा"
14558,"सग्गड़",14559,"सगड़ी"
14559,"सगड़ी",14558,"सग्गड़"
14746,"साथर",14747,"साथरी"
14747,"साथरी",14746,"साथर"
14903,"अथरी",2649,"अथरा"
15721,"गँडासी",15878,"गँडासा"
15721,"गँड़ासी",15878,"गँड़ासा"
15721,"गड़ासी",15878,"गड़ासा"
15721,"गंडासी",15878,"गंडासा"
15721,"गंड़ासी",15878,"गंड़ासा"
15871,"डोका",15872,"डोकिया"
15871,"डोका",15872,"डोकी"
15872,"डोकिया",15871,"डोका"
15872,"डोकी",15871,"डोका"
15878,"गँडासा",15721,"गँडासी"
15878,"गँड़ासा",15721,"गँड़ासी"
15878,"गड़ासा",15721,"गड़ासी"
15878,"गंडासा",15721,"गंडासी"
15878,"गंड़ासा",15721,"गंड़ासी"
22615,"दौरी",6262,"दौरा"
23120,"सँड़सी",23121,"सँड़सा"
23120,"सड़सी",23121,"सड़सा"
23121,"सँड़सा",23120,"सँड़सी"
23121,"सड़सा",23120,"सड़सी"
