synset_id,function_verb_id
2329,5701
2803,5226
2997,7325
3215,2152
196,3295
1318,5418
1794,24038
1652,11727
1793,9354
2364,7138
3639,10331
3766,4099
3773,5367
4380,4379
4623,4624
5012,6947
5294,5278
5296,5992
4917,4324
5929,5927
6089,7300
6110,7311
6113,6557
6321,9198
6361,6411
6477,6228
7244,6596
10016,7622
8361,3047
8425,5671
8571,9601
8772,7385
11137,7620
11540,11726
1111,12436
11668,3047
11684,3829
11685,7325
12659,3295
12919,5367
9078,9156
15982,15984
17307,5142
20917,7051
21445,5070
22668,7311
