"tbl_name","rel_type","pos"
"tbl_adjective_similar","semantic","adjective"
"tbl_adjective_also_see","semantic","adjective"
"tbl_adjective_modifies_noun","semantic","adjective"
"tbl_adjective_anto_action","lexical","adjective"
"tbl_adjective_anto_amount","lexical","adjective"
"tbl_adjective_anto_direction","lexical","adjective"
"tbl_adjective_anto_gender","lexical","adjective"
"tbl_adjective_anto_personality","lexical","adjective"
"tbl_adjective_anto_place","lexical","adjective"
"tbl_adjective_anto_quality","lexical","adjective"
"tbl_adjective_anto_size","lexical","adjective"
"tbl_adjective_anto_state","lexical","adjective"
"tbl_adjective_anto_time","lexical","adjective"
"tbl_adjective_anto_colour","lexical","adjective"
"tbl_adjective_anto_manner","lexical","adjective"
"tbl_adjective_grad_state","gradation","adjective"
"tbl_adjective_grad_size","gradation","adjective"
"tbl_adjective_grad_light","gradation","adjective"
"tbl_adjective_grad_gender","gradation","adjective"
"tbl_adjective_grad_temperature","gradation","adjective"
"tbl_adjective_grad_color","gradation","adjective"
"tbl_adjective_grad_time","gradation","adjective"
"tbl_adjective_grad_quality","gradation","adjective"
"tbl_adjective_grad_action","gradation","adjective"
"tbl_adjective_grad_manner","gradation","adjective"
"tbl_noun_hypernymy","semantic","noun"
"tbl_noun_hyponymy","semantic","noun"
"tbl_noun_attributes","semantic","noun"
"tbl_noun_function_verb","semantic","noun"
"tbl_noun_ability_verb","semantic","noun"
"tbl_noun_capability_verb","semantic","noun"
"tbl_noun_compound","lexical","noun"
"tbl_noun_anto_action","lexical","noun"
"tbl_noun_anto_amount","lexical","noun"
"tbl_noun_anto_direction","lexical","noun"
"tbl_noun_anto_gender","lexical","noun"
"tbl_noun_anto_personality","lexical","noun"
"tbl_noun_anto_place","lexical","noun"
"tbl_noun_anto_quality","lexical","noun"
"tbl_noun_anto_size","lexical","noun"
"tbl_noun_anto_state","lexical","noun"
"tbl_noun_anto_time","lexical","noun"
"tbl_noun_anto_colour","lexical","noun"
"tbl_noun_anto_manner","lexical","noun"
"tbl_noun_grad_state","gradation","noun"
"tbl_noun_grad_size","gradation","noun"
"tbl_noun_grad_light","gradation","noun"
"tbl_noun_grad_gender","gradation","noun"
"tbl_noun_grad_temperature","gradation","noun"
"tbl_noun_grad_color","gradation","noun"
"tbl_noun_grad_time","gradation","noun"
"tbl_noun_grad_quality","gradation","noun"
"tbl_noun_grad_action","gradation","noun"
"tbl_noun_grad_manner","gradation","noun"
"tbl_noun_mero_component_object","semantic","noun"
"tbl_noun_mero_member_collection","semantic","noun"
"tbl_noun_mero_stuff_object","semantic","noun"
"tbl_noun_mero_feature_activity","semantic","noun"
"tbl_noun_mero_place_area","semantic","noun"
"tbl_noun_mero_phase_state","semantic","noun"
"tbl_noun_mero_portion_mass","semantic","noun"
"tbl_noun_mero_resource_process","semantic","noun"
"tbl_noun_mero_position_area","semantic","noun"
"tbl_verb_hypernymy","semantic","verb"
"tbl_verb_entailment","semantic","verb"
"tbl_verb_troponymy","semantic","verb"
"tbl_verb_derived_from","semantic","verb"
"tbl_verb_also_see","semantic","verb"
"tbl_verb_compounding","lexical","verb"
"tbl_verb_conjunction","lexical","verb"
"tbl_verb_anto_action","lexical","verb"
"tbl_verb_anto_amount","lexical","verb"
"tbl_verb_anto_direction","lexical","verb"
"tbl_verb_anto_gender","lexical","verb"
"tbl_verb_anto_personality","lexical","verb"
"tbl_verb_anto_place","lexical","verb"
"tbl_verb_anto_quality","lexical","verb"
"tbl_verb_anto_size","lexical","verb"
"tbl_verb_anto_state","lexical","verb"
"tbl_verb_anto_time","lexical","verb"
"tbl_verb_anto_colour","lexical","verb"
"tbl_verb_anto_manner","lexical","verb"
"tbl_verb_grad_state","gradation","verb"
"tbl_verb_grad_size","gradation","verb"
"tbl_verb_grad_light","gradation","verb"
"tbl_verb_grad_gender","gradation","verb"
"tbl_verb_grad_temperature","gradation","verb"
"tbl_verb_grad_color","gradation","verb"
"tbl_verb_grad_time","gradation","verb"
"tbl_verb_grad_quality","gradation","verb"
"tbl_verb_grad_action","gradation","verb"
"tbl_verb_grad_manner","gradation","verb"
"tbl_adverb_derived_from","semantic","adverb"
"tbl_adverb_modifies_verb","semantic","adverb"
"tbl_adverb_also_see","semantic","adverb"
"tbl_adverb_anto_action","lexical","adverb"
"tbl_adverb_anto_amount","lexical","adverb"
"tbl_adverb_anto_direction","lexical","adverb"
"tbl_adverb_anto_gender","lexical","adverb"
"tbl_adverb_anto_personality","lexical","adverb"
"tbl_adverb_anto_place","lexical","adverb"
"tbl_adverb_anto_quality","lexical","adverb"
"tbl_adverb_anto_size","lexical","adverb"
"tbl_adverb_anto_state","lexical","adverb"
"tbl_adverb_anto_time","lexical","adverb"
"tbl_adverb_anto_colour","lexical","adverb"
"tbl_adverb_anto_manner","lexical","adverb"
"tbl_adverb_grad_state","gradation","adverb"
"tbl_adverb_grad_size","gradation","adverb"
"tbl_adverb_grad_light","gradation","adverb"
"tbl_adverb_grad_gender","gradation","adverb"
"tbl_adverb_grad_temperature","gradation","adverb"
"tbl_adverb_grad_color","gradation","adverb"
"tbl_adverb_grad_time","gradation","adverb"
"tbl_adverb_grad_quality","gradation","adverb"
"tbl_adverb_grad_action","gradation","adverb"
"tbl_adverb_grad_manner","gradation","adverb"
