synset_id,"synset_word",anto_state_id,"anto_state_word"
4116,"झपना",34057,"उझपना"
3476,"जीना",7643,"मरना"
13659,"बसना",13825,"उजड़ना"
11859,"चढ़ना",34113,"उतरना"
11859,"तनना",34113,"उतरना"
34110,"उतरना",11860,"चढ़ना"
34113,"उतरना",11859,"चढ़ना"
34113,"उतरना",11859,"तनना"
35358,"काम आना",35359,"काम न आना"
35358,"काम आना",35359,"व्यर्थ जाना"
35358,"उपयोगी होना",35359,"काम न आना"
35358,"उपयोगी होना",35359,"व्यर्थ जाना"
35359,"काम न आना",35358,"काम आना"
35359,"काम न आना",35358,"उपयोगी होना"
35359,"व्यर्थ जाना",35358,"काम आना"
35359,"व्यर्थ जाना",35358,"उपयोगी होना"
