synset_id,causative_id
4655,4686
4655,12202
235,9930
235,20471
591,20474
2152,21873
4033,4735
4679,20469
4679,20468
5385,6947
7311,10232
8500,9986
8500,20472
6258,9172
6231,25606
5671,13875
4429,11976
4429,8618
7622,9739
12776,12777
5871,25610
13659,9612
12928,12930
9380,4245
9198,9200
10765,13934
5348,21874
13868,3473
13868,3435
4727,5962
3829,9561
10295,10297
11389,11390
10802,20658
6053,9063
11726,5226
8799,8800
8826,29748
9050,20657
5771,19018
7033,11952
7051,20922
7896,33999
7896,34000
7050,11939
5712,13997
8886,9028
14548,21131
15399,17296
16376,8972
13098,25608
17156,17158
18580,21649
20442,20443
20912,20913
22213,22215
30842,30849
34048,34050
34109,11317
