synset_id,"synset_word",derived_from_id,"derived_from_word"
1377,NULL,2985,NULL
2533,NULL,2527,NULL
2388,NULL,7061,NULL
2429,NULL,2426,NULL
2534,NULL,3875,NULL
2431,NULL,4658,NULL
1510,NULL,13,NULL
3739,NULL,171,NULL
3739,NULL,7596,NULL
3762,NULL,51,NULL
3983,NULL,2623,NULL
3983,NULL,4918,NULL
4033,NULL,7890,NULL
4237,NULL,3736,NULL
3448,NULL,3858,NULL
4238,NULL,1403,NULL
4249,NULL,2115,NULL
4250,NULL,8116,NULL
4251,NULL,6744,NULL
4307,NULL,3369,NULL
4379,NULL,3014,NULL
4379,NULL,4115,NULL
4735,NULL,7890,NULL
5927,NULL,5924,NULL
13891,NULL,13893,NULL
